#id	type	iconopen	icon	ladderlevel	name	costtime	costdiamond	trophy	dropitem	dropcoin	mincoin	maxcoin	itemnum	itemgather
#箱子id	箱子类型	开启状态图标	icon	天梯等级	宝箱名称	开启消耗时间(s)	开启消耗钻石	战斗胜利次数获得	掉落物品种类	是否掉落金币	最小金币掉落	最大金币掉落	掉落数量	掉落物品集合
#int	int	string	string	int	string	int	int	int	int	int	int	int	int	string
10602	6	icon_box_open_orange	icon_box_close_orange	2	橙宝箱	43200	72		4	1	540	756	108	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10603	6	icon_box_open_orange	icon_box_close_orange	3	橙宝箱	43200	72		4	1	680	952	136	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10604	6	icon_box_open_orange	icon_box_close_orange	4	橙宝箱	43200	72		6	1	800	1120	160	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10605	6	icon_box_open_orange	icon_box_close_orange	5	橙宝箱	43200	72		6	1	920	1288	184	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10606	6	icon_box_open_orange	icon_box_close_orange	6	橙宝箱	43200	72		6	1	1040	1456	208	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10607	6	icon_box_open_orange	icon_box_close_orange	7	橙宝箱	43200	72		6	1	1160	1624	232	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10608	6	icon_box_open_orange	icon_box_close_orange	8	橙宝箱	43200	72		8	1	1280	1792	256	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10609	6	icon_box_open_orange	icon_box_close_orange	9	橙宝箱	43200	72		8	1	1400	1960	280	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10610	6	icon_box_open_orange	icon_box_close_orange	10	橙宝箱	43200	72		8	1	1520	2128	304	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10701	7	icon_box_open_violet	icon_box_close_violet	1	紫宝箱	86400	144		6	1	900	1260	180	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10702	7	icon_box_open_violet	icon_box_close_violet	2	紫宝箱	86400	144		8	1	1215	1701	243	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10703	7	icon_box_open_violet	icon_box_close_violet	3	紫宝箱	86400	144		10	1	1530	2142	306	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10704	7	icon_box_open_violet	icon_box_close_violet	4	紫宝箱	86400	144		10	1	1800	2520	360	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10705	7	icon_box_open_violet	icon_box_close_violet	5	紫宝箱	86400	144		10	1	2070	2898	414	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10706	7	icon_box_open_violet	icon_box_close_violet	6	紫宝箱	86400	144		10	1	2340	3276	468	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10707	7	icon_box_open_violet	icon_box_close_violet	7	紫宝箱	86400	144		10	1	2610	3654	522	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10708	7	icon_box_open_violet	icon_box_close_violet	8	紫宝箱	86400	144		10	1	2880	4032	576	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10709	7	icon_box_open_violet	icon_box_close_violet	9	紫宝箱	86400	144		10	1	3150	4410	630	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10710	7	icon_box_open_violet	icon_box_close_violet	10	紫宝箱	86400	144		10	1	3420	4788	684	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
